CourseMnemonic,OutcomeDescription,IsActive
ds_tech_bootcamp,Use CLI to operate Git software for version control,True
ds_tech_bootcamp,Use GUI to operate Github website interface for version control,True
ds_tech_bootcamp,Know how to Install R,True
ds_tech_bootcamp,Know how to install and launch Rstudio,True
ds_tech_bootcamp,Know how to install Anaconda,True
ds_tech_bootcamp,Know how to launch Spyder,True
ds_tech_bootcamp,Know how to launch Jupyter Notebook,True
ds6040,Probability review,True
ds6040,Use the elements of Bayes theorem in problem solving,True
ds6040,Use univariate conjugate priors to analytically obtain the posterior distribution,True
ds6040,Use multivariate conjugate priors to analytically obtain the posterior distribution,True
ds6040,Use non-informative priors to analytically obtain the posterior distribution,True
ds6040,Formulate real problems using the fundamentals of statistical decision theory,True
ds6040,Apply the principles of statistical decision theory to obtain the optimal solutions to classification problems,True
ds6040,Develop approximate solutions when the required assumptions for optimality in classification are not met,True
ds6040,Apply the principles of statistical decision theory to obtain the optimal solutions to regression problems,True
ds6040,Formulate a graphical representation of a joint distribution using nodes to represent conditional probabilities,True
ds6040,Display Bayesian models using graphs,True
ds6040,Represent generative models using graphs,True
ds6040,Apply graphical methods to real problems in text analysis,True
ds6040,Apply simple sampling methods to approximate distributions,True
ds6040,Devise Markov models for real problems with conditional dependence,True
ds6040,Formulate the Markov Chain Monte Carlo (MCMC) approaches to sampling,True
ds6040,Apply MCMC to real and complex problems in Bayesian inference,True
ds6040,Apply MCMC to real and complex problems in classifications.,True
ds6040,Apply MCMC to real and complex problems in regressions,True
ds6040,Use Bayes factors for model selection,True
ds6040,Formulate and use hierarchical models on real problems,True
ds6040,Use information criteria for model selection,True
ds6040,Formulate and use Bayesian model averaging on real problems,True
ds6040,Apply the expectation-maximization (EM) algorithm to problems in unsupervised learning,True
ds6040,Formulate problems with latent variables,True
ds6040,Formulate problems for solution by the EM algorithm,True
ds6040,Use Laplacian approximation to estimate probabilities in complex problems,True
ds6040,Formulate a variational approximation for a Bayesian inference problem,True
ds6040,Apply variational inference to problems with analytic solutions for comparisons of results,True
ds6040,Represent variational inference using the EM algorithm,True
ds6040,Use optimization methods to obtain solutions for variational approximations to real problems,True
ds6040,Apply evaluation methods to assess the performance of optimizations to obtain variational approximations,True
ds6040,Apply Markov random field models to represent problems in Bayesian machine learning,True
ds6040,Formulate Hidden Markov Model (HMM) solution strategies,True
ds6040,Apply HMMs to problems in data science,True
ds6040,Identify the range of applicability of methods from Bayesian machine learning to real problems in data science.,True
ds6040,Connect the many concepts discussed in the course to provide a foundation for continued learning,True
